ID	IGHD1	IGHD2	IGHD3	IGHD4	IGHD5	IGHD6	IGHD7	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1	64	41	112	39	13	132	2	0	0	0	0	0	0
IGHV2	78	6	170	12	1	188	0	0	0	0	0	0	0
IGHV3	49	23	237	49	11	134	3	0	0	0	0	0	0
IGHV4	72	0	273	15	33	200	3	0	0	0	0	0	0
IGHV5	58	17	67	0	0	25	1	0	0	0	0	0	0
IGHV6	0	0	14	1	5	34	0	0	0	0	0	0	0
IGHV7	14	1	52	2	37	22	1	0	0	0	0	0	0
IGHD1	0	0	0	0	0	0	0	1	13	76	148	8	89
IGHD2	0	0	0	0	0	0	0	8	2	1	34	7	36
IGHD3	0	0	0	0	0	0	0	1	52	68	383	83	338
IGHD4	0	0	0	0	0	0	0	1	33	23	43	0	18
IGHD5	0	0	0	0	0	0	0	0	0	1	47	27	25
IGHD6	0	0	0	0	0	0	0	21	13	19	176	105	401
IGHD7	0	0	0	0	0	0	0	0	0	0	10	0	0
