ID	IGHD1	IGHD2	IGHD3	IGHD4	IGHD5	IGHD6	IGHD7	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1	14	5	356	73	1	327	1	0	0	0	0	0	0
IGHV2	13	0	14	0	0	15	0	0	0	0	0	0	0
IGHV3	293	20	298	18	168	263	19	0	0	0	0	0	0
IGHV4	10	6	155	0	3	67	1	0	0	0	0	0	0
IGHV5	0	1	6	0	0	2	0	0	0	0	0	0	0
IGHV6	13	0	100	3	0	4	3	0	0	0	0	0	0
IGHV7	1	5	59	3	0	3	0	0	0	0	0	0	0
IGHD1	0	0	0	0	0	0	0	28	20	9	202	11	74
IGHD2	0	0	0	0	0	0	0	1	1	17	6	1	11
IGHD3	0	0	0	0	0	0	0	2	152	78	347	40	369
IGHD4	0	0	0	0	0	0	0	0	9	1	22	0	65
IGHD5	0	0	0	0	0	0	0	0	0	2	150	3	17
IGHD6	0	0	0	0	0	0	0	154	9	168	224	10	116
IGHD7	0	0	0	0	0	0	0	0	1	2	7	2	12
