	E1	E2	E3	F1	F2	F3	G1	G2	G3	H1	H2	H3	I1	I2	I3
100038378	3.4717274	3.0177546	3.5402987	2.337135	2.6115205	2.4896917	3.6093264	2.5858743	2.5041096	2.7445354	2.5985577	2.235737	1.1479754	2.2662983	3.0795865
100038468	0.9431078	0.54716367	0.915808	2.0276654	1.0506035	0.0	0.0	0.0	1.0578532	1.5437853	1.3631933	2.235737	0.54163927	2.3251922	0.25176758
100038493	0.0	0.0	0.0	0.0	0.0	1.4896919	1.7747499	0.95360655	1.0578532	0.06646354	0.17453167	0.0	0.14797547	0.0	0.0
100038509	1.4225773	2.9337447	0.915808	0.9586236	1.8041656	0.0	2.1897874	2.2755346	0.057853274	0.06646354	0.0	0.31819937	2.1479754	0.7402298	0.0
100038709	3.3442545	3.7911863	3.6953168	3.0288725	3.4315608	2.7403758	2.9600399	2.03306	0.77117693	2.5021453	2.4777684	2.5619073	3.2350254	3.0190341	2.4337075
100038882	3.1068542	3.1542475	3.723163	2.5576613	3.311014	2.786893	4.028649	2.2104397	3.2726488	2.0160902	2.1745317	2.5058262	3.3179004	3.3392675	3.1977277
100039043	0.9150935	0.95655453	0.5007704	0.9586236	0.0	0.0	0.0	0.53856903	0.0	1.0664636	0.0	0.0	0.0	0.0032641469	0.0
100039175	0.62924933	0.9771516	0.0	1.8330928	2.038631	1.1271217	2.2987218	1.3544302	1.0340853	1.5572686	0.79978704	1.3490368	1.5630131	1.8777332	2.3802423
100039246	0.62924933	0.9771516	0.0	1.8330928	2.038631	1.1271217	2.2987218	1.3544302	1.0340853	1.5572686	0.79978704	1.3490368	1.5630131	1.8777332	2.3802423
100039436	5.047807	4.8793864	5.112205	4.3804083	4.2906656	4.893414	4.7555876	4.521002	4.2076006	4.4110556	4.7033114	3.9213033	4.4818764	3.9957304	4.5494485
