Gene ID	ACLD_7day_n1	ACLD_7day_n2	BCLD_7day_n1	BCLD_7day_n2	ITGA8plus_n1	ITGA8plus_n2	SIX2GFPplus-ITGA8plus_n1	SIX2GFPplus-ITGA8plus_n2	SRR2588709
23049__SMG1	-0.8321359	-0.9661163	-0.7566927	-1.0745666	-0.052634	0.050369	-0.072015499999999	0.0251477	-0.08656535
51573__GDE1	1.35827825	1.36347775	1.23705725	1.27722425	0.0267892500000001	0.0549288500000001	0.32952885	0.59502425	0.12288075
1128__CHRM1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86__ACTL6A	0.031365200000001	0.189613500000001	0.246431500000001	0.339438800000001	-0.169176199999999	-0.025649499999999	0.0927528	-0.060419499999999	-0.2491109
91056__AP5B1	0.19670673	0.36683833	1.52492203	0.66055703	0.83498763	0.91330573	1.11580143	1.26788933	0.92053423
388531__RGS9BP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
219493__OR5AR1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89882__TPD52L3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51667__NUB1	-0.133671099999999	0.104729899999999	-0.0255371000000005	0.3225099	0.345896900000001	0.1851184	0.00556089999999948	0.4170544	-0.22888105
170082__TCEANC	-0.2585669	-0.6073384	-0.4718167	-0.47680197	-0.2066508	-0.1861161	-0.1551077	0.0600748	-0.3985333
9253__NUMBL	1.48137385	1.61458715	-0.6997873	-0.09977245	0.17835105	0.11276415	0.60799795	1.01327215	-1.002013735
57536__KIAA1328	-1.766005	-1.8301452	-1.4548872	-2.13350156	0.0803665000000001	-0.2565208	-0.1049233	0.1067207	-0.5659423
84129__ACAD11	-1.28288583	-0.9097202	-0.939258	-1.26265333	0.0621745	0.0624179	-0.4169712	0.2010737	-0.12165195
284382__ACTL9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10244__RABEPK	-0.994559	-0.3069394	-0.972273	-0.00528559999999983	-0.1395355	-0.5170306	-1.060191	0.00661030000000015	-0.0306603499999998
129563__DIS3L2	-0.66201905	-0.78291175	-0.26226455	-0.70034915	0.14864805	0.02490445	-0.37198495	0.0216195499999999	0.31906815
58524__DMRT3	2.1607063	1.5760808	2.137722	1.7575296	3.7079735	4.0223737	3.9683166	4.293539	2.6413028
3237__HOXD11	0.0774836000000009	0.269357300000001	-0.518116	-0.553284199999999	-0.286448	-0.652432499999999	-0.363124399999999	-0.1030574	1.7908683
197370__NSMCE1	-0.3736826	-0.2952784	0.3275544	0.5298098	0.2346901	0.2914755	0.195235	-0.0112496000000001	0.9552763
23509__POFUT1	0.3476436	0.3960244	0.4155483	0.5753648	-0.2029565	-0.1555054	-0.2022696	-0.0649181999999999	-0.24995755
2918__GRM8	0.0	0.0	0.18761803	0.0	0.0	0.0	0.0	0.0	0.0
8654__PDE5A	-1.00502945	-1.73638345	0.21604825	0.19794035	0.36363815	0.37726665	0.92964555	1.03960185	0.3881134
1983__EIF5	0.26068995	-0.06302805	0.41996835	0.13339355	0.00811295000000012	0.24069525	-0.26680405	0.07293055	0.43460445
6883__TAF12	-0.27321485	0.65103225	0.42373865	0.54097125	-0.081492749999999	0.350975250000001	0.53645385	0.19429025	-0.271591
100526771__TMPRSS4-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
