Sample	CDS_pos	Chromosome	gpos	exon	dpF	dpR
VHL_HC1	1	chr3	10183532	e1	12095	39200
VHL_HC1	2	chr3	10183533	e1	11514	39241
VHL_HC1	3	chr3	10183534	e1	10841	39226
VHL_HC1	4	chr3	10183535	e1	9350	38828
VHL_HC1	5	chr3	10183536	e1	10252	39463
VHL_HC1	6	chr3	10183537	e1	10243	39610
VHL_HC1	7	chr3	10183538	e1	9747	39640
VHL_HC1	8	chr3	10183539	e1	8523	39632
VHL_HC1	9	chr3	10183540	e1	7494	39627
VHL_HC1	10	chr3	10183541	e1	7226	39595
VHL_HC1	11	chr3	10183542	e1	5970	38998
VHL_HC1	12	chr3	10183543	e1	5783	39550
VHL_HC1	13	chr3	10183544	e1	5782	39507
VHL_HC1	14	chr3	10183545	e1	5180	39493
VHL_HC1	15	chr3	10183546	e1	4871	39436
VHL_HC1	16	chr3	10183547	e1	4741	39489
VHL_HC1	17	chr3	10183548	e1	4740	39471
VHL_HC1	18	chr3	10183549	e1	4740	39446
VHL_HC1	19	chr3	10183550	e1	4720	39388
VHL_HC1	20	chr3	10183551	e1	4607	39405
VHL_HC1	21	chr3	10183552	e1	3760	39380
VHL_HC1	22	chr3	10183553	e1	3745	39347
VHL_HC1	23	chr3	10183554	e1	3305	39163
VHL_HC1	24	chr3	10183555	e1	3212	39351
VHL_HC1	25	chr3	10183556	e1	3207	39334
VHL_HC1	26	chr3	10183557	e1	2409	39283
VHL_HC1	27	chr3	10183558	e1	2403	39302
VHL_HC1	28	chr3	10183559	e1	2407	39336
VHL_HC1	29	chr3	10183560	e1	2058	39284
VHL_HC1	30	chr3	10183561	e1	1972	39276
VHL_HC1	31	chr3	10183562	e1	1887	39567
VHL_HC1	32	chr3	10183563	e1	1690	39487
VHL_HC1	33	chr3	10183564	e1	2070	39531
VHL_HC1	34	chr3	10183565	e1	1857	39401
VHL_HC1	35	chr3	10183566	e1	1858	39536
VHL_HC1	36	chr3	10183567	e1	1809	39346
VHL_HC1	37	chr3	10183568	e1	1870	39103
